ID_Nodo,Latitud,Longitud,Calle_A,Calle_B,Nombre_Esquina
1365442071,-24.8101025,-65.4192311,,,Nodo 1365442071
7686444005,-24.8098567,-65.4190883,,,Nodo 7686444005
1365442004,-24.8092798,-65.4188195,,,Nodo 1365442004
1365441942,-24.8085648,-65.4185246,,,Nodo 1365441942
13713237259,-24.8083822,-65.4184463,,,Nodo 13713237259
1365441891,-24.8078909,-65.4182358,,,Nodo 1365441891
1167270158,-24.7730808,-65.4176977,,,Nodo 1167270158
1167270171,-24.7743483,-65.4178459,,,Nodo 1167270171
1871063307,-24.7756155,-65.4180086,,,Nodo 1871063307
2077087070,-24.7762191,-65.4180861,,,Nodo 2077087070
1392271458,-24.776868,-65.4181528,,,Nodo 1392271458
2077087074,-24.777462,-65.4182165,,,Nodo 2077087074
1390875763,-24.7781079,-65.418289,,,Nodo 1390875763
1791111681,-24.7791649,-65.4183875,,,Nodo 1791111681
7684408048,-24.7793129,-65.4184019,,,Nodo 7684408048
7684408046,-24.779414,-65.4184118,,,Nodo 7684408046
1705192748,-24.7795998,-65.4184298,,,Nodo 1705192748
12884511828,-24.7805298,-65.418505,,,Nodo 12884511828
1167270289,-24.7805972,-65.4185104,,,Nodo 1167270289
5910349672,-24.7806942,-65.4185171,,,Nodo 5910349672
1167269961,-24.7813214,-65.4185714,,,Nodo 1167269961
1167270458,-24.7819168,-65.4186202,,,Nodo 1167270458
1167269940,-24.7831638,-65.4187409,,,Nodo 1167269940
1167270046,-24.7843994,-65.4188719,,,Nodo 1167270046
1167270506,-24.785473,-65.4189696,,,Nodo 1167270506
1167270167,-24.7866545,-65.4190814,,,Nodo 1167270167
1170590886,-24.7873126,-65.4191183,,,Nodo 1170590886
1167270473,-24.7879295,-65.419156,,,Nodo 1167270473
1167270257,-24.7892397,-65.4192488,,,Nodo 1167270257
1167270360,-24.781881,-65.4193142,,,Nodo 1167270360
1167269962,-24.783119,-65.4194399,,,Nodo 1167269962
446376376,-24.7893353,-65.4179362,,,Nodo 446376376
1167270428,-24.7880325,-65.4178229,,,Nodo 1167270428
1170590707,-24.7874112,-65.4177591,,,Nodo 1170590707
1167270226,-24.786758,-65.4176942,,,Nodo 1167270226
571784192,-24.782118,-65.4157953,,,Nodo 571784192
571784194,-24.7821919,-65.4144121,,,Nodo 571784194
1194373379,-24.7809853,-65.4227255,,,Nodo 1194373379
7431777285,-24.7809942,-65.42152,,,Nodo 7431777285
7431777086,-24.7809857,-65.4214496,,,Nodo 7431777086
7431752086,-24.7809614,-65.4213806,,,Nodo 7431752086
1194373324,-24.7809326,-65.4213219,,,Nodo 1194373324
1387550357,-24.7942234,-65.4183465,,,Nodo 1387550357
1168564592,-24.793822,-65.4184454,,,Nodo 1168564592
1167269985,-24.793043,-65.4183585,,,Nodo 1167269985
