ID_Origen,ID_Destino,Tipo_Via
1167270516,1167270412,tertiary
1167270412,2052323157,tertiary
2052323157,1167269948,tertiary
1167269948,2133908589,tertiary
2133908589,1170591231,tertiary
1170591231,2133908594,tertiary
2133908594,1170591261,tertiary
1170591261,2134228916,tertiary
2134228916,1170590699,tertiary
1167270228,1167270329,residential
1167270329,2118016403,residential
2118016403,1167270422,residential
1167270422,2133908582,residential
2133908582,1167269871,residential
1167269871,3220983676,residential
3220983676,1170591162,residential
1170591162,1170591274,residential
1170591274,1170591135,residential
1167270059,1167270316,residential
1167270316,4240571035,residential
4240571035,7686432653,residential
7686432653,1167270420,residential
1167270420,2133908579,residential
2133908579,1167270125,residential
1167270125,1170590819,residential
1170590819,1170590977,residential
1170590977,2134228918,residential
2134228918,1170590958,residential
1188226906,1553059378,tertiary
1553059378,1188226906,tertiary
1553059378,1553059448,tertiary
1553059448,1553059378,tertiary
1553059448,1553059524,tertiary
1553059524,1553059448,tertiary
1553059524,1553059459,tertiary
1553059459,1553059524,tertiary
1553059459,1553059667,tertiary
1553059667,1553059459,tertiary
1553059667,1553059484,tertiary
1553059484,1553059667,tertiary
1553059484,1553059399,tertiary
1553059399,1553059484,tertiary
1553059399,1553059565,tertiary
1553059565,1553059399,tertiary
1553059565,1553059450,tertiary
1553059450,1553059565,tertiary
1553059450,1553059487,tertiary
1553059487,1553059450,tertiary
1553059487,1553059548,tertiary
1553059548,1553059487,tertiary
1553059548,1553059572,tertiary
1553059572,1553059548,tertiary
1553059572,1553059367,tertiary
1553059367,1553059572,tertiary
1553059367,1553059385,tertiary
1553059385,1553059367,tertiary
1553059385,1553059700,tertiary
1553059700,1553059385,tertiary
1553059700,1553059418,tertiary
1553059418,1553059700,tertiary
1553059418,1553059629,tertiary
1553059629,1553059418,tertiary
1553059629,1553059316,tertiary
1553059316,1553059629,tertiary
1553059316,1553059664,tertiary
1553059664,1553059316,tertiary
1553059664,1553059643,tertiary
1553059643,1553059664,tertiary
1553059643,7684407685,tertiary
7684407685,1553059643,tertiary
7684407685,1553059705,tertiary
1553059705,7684407685,tertiary
1553059705,1553059443,tertiary
1553059443,1553059705,tertiary
1553059443,1553059439,tertiary
1553059439,1553059443,tertiary
1553059439,1553059596,tertiary
1553059596,1553059439,tertiary
1553059596,1553059401,tertiary
1553059401,1553059596,tertiary
1553059401,6067604753,tertiary
6067604753,1553059401,tertiary
6067604753,1553059502,tertiary
1553059502,6067604753,tertiary
1553059502,1553059426,tertiary
1553059426,1553059502,tertiary
1553059426,1553059481,tertiary
1553059481,1553059426,tertiary
1553059481,1553059425,tertiary
1553059425,1553059481,tertiary
1553059425,1553059559,tertiary
1553059559,1553059425,tertiary
1553059559,1553059615,tertiary
1553059615,1553059559,tertiary
1553059615,11280289118,tertiary
11280289118,1553059615,tertiary
11280289118,1553059437,tertiary
1553059437,11280289118,tertiary
1553059437,1553059434,tertiary
1553059434,1553059437,tertiary
1553059434,1553059639,tertiary
1553059639,1553059434,tertiary
1553059639,1553059494,tertiary
1553059494,1553059639,tertiary
1553059494,1553059395,tertiary
1553059395,1553059494,tertiary
1553059395,1553059526,tertiary
1553059526,1553059395,tertiary
1553059526,1553059701,tertiary
1553059701,1553059526,tertiary
1553059701,1553059584,tertiary
1553059584,1553059701,tertiary
1553059584,1553059364,tertiary
1553059364,1553059584,tertiary
1553059364,1188226909,tertiary
1188226909,1553059364,tertiary
1188226909,1553059607,tertiary
1553059607,1188226909,tertiary
1553059607,1553059349,tertiary
1553059349,1553059607,tertiary
1553059349,1553059429,tertiary
1553059429,1553059349,tertiary
1553059429,7684406582,tertiary
7684406582,1553059429,tertiary
7684406582,1553059611,tertiary
1553059611,7684406582,tertiary
1553059611,1553059511,tertiary
1553059511,1553059611,tertiary
1553059511,1553059421,tertiary
1553059421,1553059511,tertiary
1553059421,1553059466,tertiary
1553059466,1553059421,tertiary
1553059466,1553059609,tertiary
1553059609,1553059466,tertiary
1553059609,1553059374,tertiary
1553059374,1553059609,tertiary
1553059374,12259994791,tertiary
12259994791,1553059374,tertiary
12259994791,1553059330,tertiary
1553059330,12259994791,tertiary
1553059330,1553059687,tertiary
1553059687,1553059330,tertiary
1553059687,12259994789,tertiary
12259994789,1553059687,tertiary
12259994789,1553059400,tertiary
1553059400,12259994789,tertiary
1553059400,1553059402,tertiary
1553059402,1553059400,tertiary
1553059402,12877511766,tertiary
12877511766,1553059402,tertiary
12877511766,1553059610,tertiary
1553059610,12877511766,tertiary
1553059610,1553059649,tertiary
1553059649,1553059610,tertiary
1553059649,12259994790,tertiary
12259994790,1553059649,tertiary
12259994790,1553059315,tertiary
1553059315,12259994790,tertiary
1553059315,1553059536,tertiary
1553059536,1553059315,tertiary
1553059536,1553059372,tertiary
1553059372,1553059536,tertiary
1553059372,1553059617,tertiary
1553059617,1553059372,tertiary
1553059617,1553059313,tertiary
1553059313,1553059617,tertiary
1553059313,1553059593,tertiary
1553059593,1553059313,tertiary
1553059593,1553059640,tertiary
1553059640,1553059593,tertiary
1553059640,1553059674,tertiary
1553059674,1553059640,tertiary
1553059674,1553059613,tertiary
1553059613,1553059674,tertiary
1553059613,1553059637,tertiary
1553059637,1553059613,tertiary
1553059637,1553059361,tertiary
1553059361,1553059637,tertiary
1553059361,1553059709,tertiary
1553059709,1553059361,tertiary
1553059709,1553059482,tertiary
1553059482,1553059709,tertiary
1553059482,1553059480,tertiary
1553059480,1553059482,tertiary
1553059480,7684406578,tertiary
7684406578,1553059480,tertiary
7684406578,1553059317,tertiary
1553059317,7684406578,tertiary
1553059317,1553059550,tertiary
1553059550,1553059317,tertiary
1553059550,7684406579,tertiary
7684406579,1553059550,tertiary
7684406579,7684406580,tertiary
7684406580,7684406579,tertiary
7684406580,1553059579,tertiary
1553059579,7684406580,tertiary
1553059579,7684406581,tertiary
7684406581,1553059579,tertiary
7684406581,1553059587,tertiary
1553059587,7684406581,tertiary
1553059587,1553059634,tertiary
1553059634,1553059587,tertiary
1553059634,1553059451,tertiary
1553059451,1553059634,tertiary
1553059451,7684406577,tertiary
7684406577,1553059451,tertiary
7684406577,1553059474,tertiary
1553059474,7684406577,tertiary
1553059474,1553059503,tertiary
1553059503,1553059474,tertiary
1553059503,1553059720,tertiary
1553059720,1553059503,tertiary
1553059720,1553059461,tertiary
1553059461,1553059720,tertiary
1553059461,1553059684,tertiary
1553059684,1553059461,tertiary
1553059684,1553059545,tertiary
1553059545,1553059684,tertiary
1553059545,1553059327,tertiary
1553059327,1553059545,tertiary
1553059327,1553059703,tertiary
1553059703,1553059327,tertiary
1553059703,1553059708,tertiary
1553059708,1553059703,tertiary
1553059708,1553059675,tertiary
1553059675,1553059708,tertiary
1553059675,7684406576,tertiary
7684406576,1553059675,tertiary
7684406576,1553059510,tertiary
1553059510,7684406576,tertiary
1553059510,1553059508,tertiary
1553059508,1553059510,tertiary
1553059508,1553059351,tertiary
1553059351,1553059508,tertiary
1553059351,1553059328,tertiary
1553059328,1553059351,tertiary
1553059328,1553059396,tertiary
1553059396,1553059328,tertiary
1553059396,1553059359,tertiary
1553059359,1553059396,tertiary
1553059359,1553059563,tertiary
1553059563,1553059359,tertiary
1553059563,1553059333,tertiary
1553059333,1553059563,tertiary
1553059333,1553059525,tertiary
1553059525,1553059333,tertiary
1553059525,1553059519,tertiary
1553059519,1553059525,tertiary
1553059519,1553059560,tertiary
1553059560,1553059519,tertiary
1553059560,1553059380,tertiary
1553059380,1553059560,tertiary
1553059380,7684406575,tertiary
7684406575,1553059380,tertiary
7684406575,7684406574,tertiary
7684406574,7684406575,tertiary
7684406574,1553059334,tertiary
1553059334,7684406574,tertiary
1553059334,8138806472,tertiary
8138806472,1553059334,tertiary
8138806472,1553059505,tertiary
1553059505,8138806472,tertiary
1553059505,1553059538,tertiary
1553059538,1553059505,tertiary
1553059538,1553059528,tertiary
1553059528,1553059538,tertiary
1553059528,1553059706,tertiary
1553059706,1553059528,tertiary
1553059706,1553059441,tertiary
1553059441,1553059706,tertiary
1553059441,1553059574,tertiary
1553059574,1553059441,tertiary
1553059574,1553059449,tertiary
1553059449,1553059574,tertiary
1553059449,1553059345,tertiary
1553059345,1553059449,tertiary
1553059345,1553059489,tertiary
1553059489,1553059345,tertiary
1553059489,1553059492,tertiary
1553059492,1553059489,tertiary
1553059492,1553059530,tertiary
1553059530,1553059492,tertiary
1553059530,7684406573,tertiary
7684406573,1553059530,tertiary
7684406573,1553059471,tertiary
1553059471,7684406573,tertiary
1553059471,1553059588,tertiary
1553059588,1553059471,tertiary
1553059588,1553059521,tertiary
1553059521,1553059588,tertiary
1553059521,1553059325,tertiary
1553059325,1553059521,tertiary
1553059325,1553059501,tertiary
1553059501,1553059325,tertiary
1553059501,1553059307,tertiary
1553059307,1553059501,tertiary
1553059307,1553059632,tertiary
1553059632,1553059307,tertiary
1553059632,1553059397,tertiary
1553059397,1553059632,tertiary
1553059397,1553059685,tertiary
1553059685,1553059397,tertiary
1553059685,1553059428,tertiary
1553059428,1553059685,tertiary
1553059428,1553059681,tertiary
1553059681,1553059428,tertiary
1553059681,1553059669,tertiary
1553059669,1553059681,tertiary
1553059669,1553059398,tertiary
1553059398,1553059669,tertiary
1553059398,1553059337,tertiary
1553059337,1553059398,tertiary
1553059337,1553059616,tertiary
1553059616,1553059337,tertiary
1553059616,1553059469,tertiary
1553059469,1553059616,tertiary
1553059469,1553059423,tertiary
1553059423,1553059469,tertiary
1553059423,1553059310,tertiary
1553059310,1553059423,tertiary
1553059310,1553059357,tertiary
1553059357,1553059310,tertiary
1553059357,1553059463,tertiary
1553059463,1553059357,tertiary
1553059463,1553059540,tertiary
1553059540,1553059463,tertiary
1553059540,1553059370,tertiary
1553059370,1553059540,tertiary
1553059370,1553059414,tertiary
1553059414,1553059370,tertiary
1553059414,1553059570,tertiary
1553059570,1553059414,tertiary
1553059570,1553059542,tertiary
1553059542,1553059570,tertiary
1553059542,1553059369,tertiary
1553059369,1553059542,tertiary
1553059369,1553059445,tertiary
1553059445,1553059369,tertiary
1553059445,1553059662,tertiary
1553059662,1553059445,tertiary
1553059662,7684406572,tertiary
7684406572,1553059662,tertiary
7684406572,1553059419,tertiary
1553059419,7684406572,tertiary
1553059419,1553059504,tertiary
1553059504,1553059419,tertiary
1553059504,8138806471,tertiary
8138806471,1553059504,tertiary
8138806471,1553059476,tertiary
1553059476,8138806471,tertiary
1553059476,7684406571,tertiary
7684406571,1553059476,tertiary
7684406571,1553059354,tertiary
1553059354,7684406571,tertiary
1553059354,1553059323,tertiary
1553059323,1553059354,tertiary
1553059323,1553059677,tertiary
1553059677,1553059323,tertiary
1553059677,12259994788,tertiary
12259994788,1553059677,tertiary
12259994788,1553059382,tertiary
1553059382,12259994788,tertiary
1553059382,7684406570,tertiary
7684406570,1553059382,tertiary
7684406570,1553059527,tertiary
1553059527,7684406570,tertiary
1553059527,1553059552,tertiary
1553059552,1553059527,tertiary
1553059552,1553059557,tertiary
1553059557,1553059552,tertiary
1553059557,1553059647,tertiary
1553059647,1553059557,tertiary
1553059647,1553059507,tertiary
1553059507,1553059647,tertiary
1553059507,7684406569,tertiary
7684406569,1553059507,tertiary
7684406569,1553059678,tertiary
1553059678,7684406569,tertiary
1553059678,1553059652,tertiary
1553059652,1553059678,tertiary
1553059652,1260407741,tertiary
1260407741,1553059652,tertiary
1260407741,1260407739,tertiary
1260407739,1260407741,tertiary
1260407739,1260407743,tertiary
1260407743,1260407739,tertiary
1260407743,1260407806,tertiary
1260407806,1260407743,tertiary
1260407806,1260407804,tertiary
1260407804,1260407806,tertiary
1260407804,1260407799,tertiary
1260407799,1260407804,tertiary
1260407799,1260407801,tertiary
1260407801,1260407799,tertiary
1260407801,1260407800,tertiary
1260407800,1260407801,tertiary
1260407800,1260407798,tertiary
1260407798,1260407800,tertiary
1260407798,1260407802,tertiary
1260407802,1260407798,tertiary
1260407802,8138806470,tertiary
8138806470,1260407802,tertiary
8138806470,1260407773,tertiary
1260407773,8138806470,tertiary
1260407773,8138806469,tertiary
8138806469,1260407773,tertiary
8138806469,1260407805,tertiary
1260407805,8138806469,tertiary
1260407805,8138806468,tertiary
8138806468,1260407805,tertiary
8138806468,1260407803,tertiary
1260407803,8138806468,tertiary
1260407803,12259994787,tertiary
12259994787,1260407803,tertiary
12259994787,1260407747,tertiary
1260407747,12259994787,tertiary
1260407747,1260407796,tertiary
1260407796,1260407747,tertiary
1260407796,12259994786,tertiary
12259994786,1260407796,tertiary
12259994786,1260407792,tertiary
1260407792,12259994786,tertiary
1260407792,8138806467,tertiary
8138806467,1260407792,tertiary
8138806467,1260407807,tertiary
1260407807,8138806467,tertiary
1260407807,1260407797,tertiary
1260407797,1260407807,tertiary
1260407797,1260407795,tertiary
1260407795,1260407797,tertiary
1260407795,1260407793,tertiary
1260407793,1260407795,tertiary
1260407793,12287227901,tertiary
12287227901,1260407793,tertiary
12287227901,1260407788,tertiary
1260407788,12287227901,tertiary
1260407788,1260407790,tertiary
1260407790,1260407788,tertiary
1260407790,1260407786,tertiary
1260407786,1260407790,tertiary
1260407786,12259994797,tertiary
12259994797,1260407786,tertiary
12259994797,1260407791,tertiary
1260407791,12259994797,tertiary
1260407791,1260407789,tertiary
1260407789,1260407791,tertiary
1260407789,1260407787,tertiary
1260407787,1260407789,tertiary
1260407787,1260407785,tertiary
1260407785,1260407787,tertiary
1260407785,1260407783,tertiary
1260407783,1260407785,tertiary
1260407783,1260407762,tertiary
1260407762,1260407783,tertiary
1260407762,11280378945,tertiary
11280378945,1260407762,tertiary
11280378945,1260407760,tertiary
1260407760,11280378945,tertiary
1260407760,1260407764,tertiary
1260407764,1260407760,tertiary
1260407764,1260407770,tertiary
1260407770,1260407764,tertiary
1260407770,12877511778,tertiary
12877511778,1260407770,tertiary
12877511778,1260407757,tertiary
1260407757,12877511778,tertiary
1260407757,1260407766,tertiary
1260407766,1260407757,tertiary
1260407766,1260407767,tertiary
1260407767,1260407766,tertiary
1260407767,1260407768,tertiary
1260407768,1260407767,tertiary
1260407768,1260407755,tertiary
1260407755,1260407768,tertiary
1260407755,1260407763,tertiary
1260407763,1260407755,tertiary
1260407763,13241688452,tertiary
13241688452,1260407763,tertiary
13241688452,13241688453,tertiary
13241688453,13241688452,tertiary
13241688453,13241688454,tertiary
13241688454,13241688453,tertiary
1260351965,1260427710,tertiary
1260427710,1260427715,tertiary
1260427715,1260427711,tertiary
